yyyymm,600381.SH,600446.SH,600155.SH,600228.SH,600330.SH,600192.SH,600566.SH,600200.SH,600539.SH,600398.SH
201401,0,0.59546926,0.1280654,-0.1491379,0.31300345,-0.0218659,0.10932798,-0.1027217,-0.0843373,0.24152542
201402,0,-0.0356998,0.10628019,0.1935157,-0.0902717,0.19821162,0.07911392,0.11643836,-0.0319549,0.02957907
201403,0,0.15649979,0.90611354,-0.1264856,-0.066474,-0.0373134,-0.1495601,-0.0701139,0.17281553,0.0121547
201404,0,-0.0938523,-0.1970218,-0.0194363,0.02683179,-0.0684755,0.0364532,-0.0028275,0.00827815,-0.0163755
201405,0,0.13528703,-0.1241084,0,0.11256281,0.00554785,0.02614068,-0.0179584,-0.0213465,-0.0199778
201406,7.05288462,0.08698727,0.20358306,0,0.08943089,0.06344828,0.06993979,0,-0.0184564,0.0419026
201407,0,-0.0058556,0.2300406,-0.0882061,-0.0049751,0.11024643,-0.1246753,0.09143407,0.16410256,-0.0032609
201408,0,0.07820681,-0.1408141,0.10434783,0.02833333,0.18574766,0.08753709,0.01234568,0.04845815,0.06543075
201409,0.05014925,0.25128983,0.06017926,0.1269685,-0.0705024,0.2226601,0.11459754,0.07752613,0.16106443,0.1432958
201410,0.3763502,0.0400194,-0.1219807,-0.0148472,-0.0863121,-0.085415,-0.0318237,0.03476152,-0.0542823,-0.0331244
201411,-0.0532838,0.37826493,0.61898212,0.00088652,0.00763359,0.0845815,-0.0859671,0.02265625,0.09438776,-0.0222222
201412,-0.0488656,-0.2067682,0.01274427,-0.0478299,-0.1212121,-0.2250203,-0.0917473,-0.0840336,-0.1550117,-0.0435606
201501,0.2293578,0.44091297,0.34144295,0.17023256,0.09806034,0.10587002,0.04974619,0.09924937,0.02068966,0.14851485
201502,0.12089552,0.15336788,-0.0425266,0.02782194,0.09322866,0.04170616,-0.0004836,0.03034901,0.07972973,0.14655172
201503,0.21105193,0.56334232,-0.0215545,0.28538283,0.40843806,0.11010009,0.1436865,0.30044183,0.13892365,0.0962406
201504,-0.0549753,0.46929392,0,0.00842359,0.00382409,0.13934426,0.08037225,0.24745187,0.13846154,0.09602195
201505,0.11809191,0.16210326,0,0.17959427,0.25650794,0.05251799,0.19772905,0.54062642,0.37741313,-0.0212766
201506,-0.3218002,-0.4063567,0,-0.2665655,-0.140475,0.05536569,-0.0362864,0.08279316,-0.192712,0.15920716
201507,-0.2581511,-0.1774664,0,-0.1917241,-0.2933568,-0.4009067,-0.1994573,-0.4557823,-0.1449653,-0.2007722
201508,0.336091,0,0,-0.03157,-0.1921797,-0.1372973,-0.0322034,-0.184,-0.057868,0.0621118
201509,-0.3243034,-0.6670606,0,-0.1189427,-0.0720906,-0.0426065,0.03327496,-0.0104167,-0.0431034,-0.0851202
201510,0.1884307,0.33096717,0,0.271,0.39067703,0.19109948,0.08177966,0.27182663,0.23536036,0.12784091
201511,0.0746988,0.04222222,0,0.05114083,0.11971269,0.03516484,-0.0552291,0.35783836,-0.0072926,-0.0774559
201512,-0.0484305,0.04882729,0,0.20883234,0.04704205,0.09766454,0.14676617,0,0.2056933,-0.047099
201601,-0.3501414,-0.340923,-0.1802403,-0.279257,-0.3703199,-0.3056093,-0.258496,0,-0.1865956,-0.3015759
201602,0.10007252,-0.2344232,-0.1628664,-0.1262887,0.03243243,0.0097493,0.04924427,0,0,0.04615385
201603,0,0.49113618,0.36381323,0.05899705,0.28167539,0.16827586,0.11431227,-0.1972033,0,0.12843137
201604,0,-0.1742772,-0.096291,0,-0.0490196,-0.025974,0.01417848,-0.1469406,0,-0.0695048
201605,0,0.0091623,0.01262826,0,0.1967354,-0.0133333,-0.0316612,-0.134555,0,0.04575163
201606,-0.097561,0.1656939,0.07092751,0,0,0.31695332,0.09299363,0.17180883,0,0.00892857
201607,-0.2169467,-0.1513213,0.08005822,0.21077066,0,-0.1156716,0.08275058,0.14765101,0.13951311,0.04955752
201608,0.06436567,0.03507047,0.12466307,-0.0352761,0,0.02848101,0.07857912,-0.0782726,0.21692687,-0.0539629
201609,-0.0087642,-0.0693477,-0.1012582,0.18124006,0,-0.0338462,-0.0056554,-0.0815032,0.07022282,-0.043672
