"","V1","V2","V3","V4"
"X600381.SH",-1.21827822224366,-0.33304185307723,9.7898820667937,2.34974077521748
"X600446.SH",2.74178471698682,-0.240631671696346,3.49015075991464,2.07156961326022
"X600155.SH",1.64204441642669,1.62690803056183,2.01062077425272,1.74807640801504
"X600228.SH",1.6792162537796,1.13827355733372,1.92180454986748,1.5897099336722
"X600330.SH",2.28582049507373,0.499174767249834,1.66750971019539,1.56433354126306
"X600192.SH",3.01527313862837,0.816781898338399,0.0685789754508234,1.47171751758812
"X600566.SH",2.11139195896006,-0.59598275277468,2.64596771686944,1.45955227281245
"X600200.SH",2.36737140828151,-0.684153712384331,1.9850125037307,1.33720620071651
"X600539.SH",1.9618696299003,1.36384133971297,0.3276731657271,1.29220220359214
"X600398.SH",1.74183857378729,-0.0487664567765496,1.97306480897672,1.27402493517497
"X600071.SH",1.70443891393215,0.695399149648723,1.25372632410493,1.26651320769896
"X600603.SH",1.48800164479684,1.18511320107482,0.80830859430117,1.19322719653153
"X600211.SH",2.50569257046265,-1.0697223477695,1.68342513780968,1.18638786519712
"X600372.SH",1.21203265530574,-2.3931689027118,4.6702474253834,1.16793661892378
"X600297.SH",2.5111002039114,0.181516015834966,0.350903332865304,1.16416588617464
"X600630.SH",1.57153056738751,1.17510890242189,0.593199068421252,1.15910461820795
"X600633.SH",1.57442605582039,-1.59470284870005,3.26773556807151,1.13168023813959
"X600220.SH",2.40341601080428,1.1852399696141,-0.629154334517153,1.1281920948508
"X600229.SH",1.19757640241721,2.07616625043401,0.0860403350513844,1.1276925366125
"X600184.SH",2.15335658080254,-0.273486475927943,1.15669196761274,1.12630427982645
"X600389.SH",0.167298981797695,0.157149255976591,3.24727827060859,1.08824785069463
"X600399.SH",-0.7045298417219,1.75426486069164,2.700491175188,1.05461487407513
"X600232.SH",1.43832177825701,1.54905694867763,0.0484097424975389,1.05456871865535
"X600605.SH",1.38830989225666,0.897929443436766,0.653066219908819,1.02062265590634
"X600182.SH",2.25616822626947,-0.814975201785956,1.16384188668278,1.00712729597683
"X600540.SH",2.36881015764195,0.913491000439271,-0.724685607328268,1.00416568099008
"X600119.SH",1.25134040267012,-0.462334793742391,2.12280365075879,0.998676818172969
"X600370.SH",1.06193846985839,1.3950624342687,0.514429503438381,0.997622969255482
"X600435.SH",1.93920063422769,-0.357036398371978,1.06853765676838,0.989130631209995
"X600212.SH",1.22545290879942,0.742721266568842,0.916714711055038,0.988011956806931
"X600016.SH",2.39530597523666,-0.405582902842799,0.41831270071827,0.961941329457305
"X600255.SH",1.50635596551875,0.476112947218862,0.705796736273591,0.957115291255235
"X600409.SH",1.98244833303433,0.54713158908999,-0.0299783850319493,0.948125294431145
"X600234.SH",0.17946395525658,0.953064557316562,1.95438889594716,0.94402161808175
"X600273.SH",2.21820467356107,0.480938697705026,-0.295506825928919,0.942911430957258
"X600218.SH",1.49103700944657,0.457166408985484,0.653937176990697,0.929745879571481
"X600299.SH",1.47750712488187,1.88208839179908,-0.760307869815514,0.927537006547818
"X600287.SH",1.85110784105402,0.329015027376361,0.213913388167661,0.903321661084813
"X600620.SH",1.91816554934144,-0.614142004448128,1.06043782698408,0.901154966497361
"X600569.SH",0.975031342302711,2.6110753192954,-0.934095543602361,0.893106469628995
"X600390.SH",1.4329150878786,0.563837792918927,0.491861030998225,0.889875682326584
"X600158.SH",1.94257308932847,-0.444351781210998,0.798679978960395,0.883327695056208
"X600057.SH",0.916137897995208,0.0143188867581502,1.65663709864703,0.867741954819636
"X600278.SH",1.29098946544517,0.890736421312663,0.25035434731915,0.858723016767613
"X600456.SH",1.64197378251068,0.968212176445191,-0.298125549817601,0.857815500992551
"X600418.SH",1.0484214380937,0.387242786918184,1.04310372168751,0.848472527819186
"X600387.SH",1.72127190806079,-0.480578290999648,1.00269986853399,0.845145236484617
"X600352.SH",1.26260434095849,-0.0785683737306476,1.18240316721573,0.836192174428918
"X600242.SH",1.34563478368698,0.848656096473363,0.143741965590547,0.835973332093965
"X600400.SH",1.18494345891715,1.16814553678447,-0.021381297560894,0.81800665533393
